benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
SPHERICAL,Standard_3,0,8.07185,8.54694,0,0.8204294755990151,0.9034176441011876,0.7978726625442505,1.0,0.42920780181884766,0.8888822793960571,0.5762227177619934,0.9916607141494751,Standard,0.065
SPHERICAL,Standard_4,0,8.07018,7.54325,0,0.8099520698803624,0.8987345812110671,0.7975262403488159,1.0,0.47910723090171814,0.8779434561729431,0.6172252893447876,0.9930670261383057,Standard,0.075
SPHERICAL,Standard_5,0,8.06103,6.52967,0,0.7998669513879851,0.894703912012139,0.7963203191757202,1.0,0.543447732925415,0.8661463260650635,0.665313720703125,0.9944810271263123,Standard,0.085
SPHERICAL,Standard_6,0,8.06403,6.08602,0,0.791928342442716,0.8906280409075779,0.796968936920166,1.0,0.5757623314857483,0.8576176762580872,0.686525821685791,0.9950569272041321,Standard,0.095
SPHERICAL,Standard_7,0,8.05841,5.36599,0,0.7786422364180479,0.8853855560923432,0.795585572719574,1.0,0.6395617723464966,0.8417303562164307,0.7243810296058655,0.9959656596183777,Standard,0.11
SPHERICAL,Standard_8,0,8.06231,4.89682,0,0.765610061393761,0.8804570977619981,0.7921569347381592,1.0,0.6880175471305847,0.8265731334686279,0.7485208511352539,0.9965015649795532,Standard,0.125
SPHERICAL,Standard_9,0,8.06631,4.56215,0,0.7534921953971797,0.874989613035952,0.7894402146339417,1.0,0.7242982387542725,0.8107051253318787,0.7625816464424133,0.9968259930610657,Standard,0.14
TORUS,Standard_0,0,7.99921,15.41892,0,0.8381510234342182,0.9095867858123194,0.7976614832878113,1.0,0.2500164806842804,0.9160546064376831,0.39008983969688416,0.9813422560691833,Standard,0.04
TORUS,Standard_1,0,8.01699,12.01111,0,0.8272362196061173,0.903407951713453,0.7970351576805115,1.0,0.31091606616973877,0.9049097895622253,0.46020063757896423,0.9864696860313416,Standard,0.05
TORUS,Standard_10,0,7.99725,4.17513,0,0.7225103468540562,0.856676714110219,0.7841945886611938,0.9984567901234568,0.7579847574234009,0.7804169654846191,0.7662195563316345,0.9970200061798096,Standard,0.165
TORUS,Standard_11,0,7.99201,3.92216,0,0.7030185650125534,0.8469089267019172,0.7828783392906189,1.0,0.7894662022590637,0.7634280323982239,0.7730735540390015,0.9972019791603088,Standard,0.185
TORUS,Standard_12,0,8.00487,3.6491,0,0.6837769934385565,0.8374306703194692,0.77888423204422,1.0,0.8205565214157104,0.7383981943130493,0.7742811441421509,0.9973172545433044,Standard,0.21
TORUS,Standard_13,0,8.00883,3.404,0,0.6556962401220366,0.8224218256817184,0.7739788889884949,1.0,0.8458044528961182,0.7118536233901978,0.7700443863868713,0.9973634481430054,Standard,0.24
TORUS,Standard_14,0,7.99435,3.13798,0,0.6283741141358167,0.8063692269566582,0.7695151567459106,1.0,0.8714272975921631,0.6773561239242554,0.7589524984359741,0.9973441958427429,Standard,0.275
TORUS,Standard_15,0,8.00302,2.90945,0,0.5949597863273512,0.7858595643182431,0.7631003260612488,1.0,0.8912713527679443,0.6426489353179932,0.7432631850242615,0.9972707629203796,Standard,0.315
TORUS,Standard_2,0,7.99886,9.79431,0,0.8152228682170543,0.8975938692781961,0.7982771992683411,1.0,0.37289416790008545,0.8934540152549744,0.5236856341362,0.9897417426109314,Standard,0.06
TORUS,Standard_3,0,8.00756,8.33518,0,0.807000638948074,0.8932404312647497,0.7979822158813477,1.0,0.4317789077758789,0.8823187351226807,0.5773525238037109,0.9918636083602905,Standard,0.07
